Trial,participant_id,Block,TACS,Stimulus_name,fMRI_scan_trigger_time,Stimulus_onset,Button,Response,RT,TACS_Stimulus_Phase
1,sub-013,1,aph40Hz,no_stimulus,94823,0,0,NaN,0,0
2,sub-013,1,aph40Hz,no_stimulus,97823,0,0,NaN,0,0
3,sub-013,1,aph40Hz,LE_lowF3_RE_ga,100823,102595,0,NaN,0,270
4,sub-013,1,aph40Hz,LE_highF3_RE_da,103823,105578,2,da,888,30
5,sub-013,1,aph40Hz,LE_highF3_RE_da,106823,108578,2,da,955,30
6,sub-013,1,aph40Hz,LE_lowF3_RE_amb,109823,111582,2,da,832,90
7,sub-013,1,aph40Hz,no_stimulus,112823,0,0,NaN,0,90
8,sub-013,1,aph40Hz,LE_lowF3_RE_amb,115823,117599,3,ga,803,330
9,sub-013,1,aph40Hz,no_stimulus,118823,0,0,NaN,0,330
10,sub-013,1,aph40Hz,LE_lowF3_RE_amb,121823,123590,0,NaN,0,210
11,sub-013,1,aph40Hz,LE_highF3_RE_da,124823,126590,2,da,879,210
12,sub-013,1,aph40Hz,LE_lowF3_RE_amb,127823,129598,2,da,965,330
13,sub-013,1,aph40Hz,no_stimulus,130822,0,0,NaN,0,330
14,sub-013,1,aph40Hz,LE_lowF3_RE_amb,133822,135594,3,ga,842,270
15,sub-013,1,aph40Hz,LE_highF3_RE_da,136822,138586,2,da,767,150
16,sub-013,1,aph40Hz,no_stimulus,139822,0,0,NaN,0,150
17,sub-013,1,aph40Hz,LE_highF3_RE_amb,142822,144594,0,NaN,0,270
18,sub-013,1,aph40Hz,no_stimulus,145822,0,0,NaN,0,270
19,sub-013,1,aph40Hz,LE_lowF3_RE_amb,148822,150577,2,da,849,30
20,sub-013,1,aph40Hz,LE_lowF3_RE_ga,151822,153594,3,ga,518,270
21,sub-013,1,aph40Hz,no_stimulus,154822,0,0,NaN,0,270
22,sub-013,1,aph40Hz,LE_highF3_RE_amb,157822,159586,0,NaN,0,150
23,sub-013,1,aph40Hz,LE_lowF3_RE_ga,160822,162581,3,ga,709,90
24,sub-013,1,aph40Hz,no_stimulus,163822,0,0,NaN,0,90
25,sub-013,1,aph40Hz,LE_highF3_RE_amb,166822,168594,2,da,786,270
26,sub-013,1,aph40Hz,no_stimulus,169822,0,0,NaN,0,270
27,sub-013,1,aph40Hz,LE_lowF3_RE_amb,172822,174581,3,ga,988,90
28,sub-013,1,aph40Hz,LE_highF3_RE_amb,175822,177577,2,da,787,30
29,sub-013,1,aph40Hz,LE_lowF3_RE_amb,178822,180590,3,ga,503,210
30,sub-013,1,aph40Hz,LE_highF3_RE_da,181821,183581,2,da,871,90
31,sub-013,1,aph40Hz,no_stimulus,184822,0,0,NaN,0,90
32,sub-013,1,aph40Hz,LE_lowF3_RE_amb,187821,189594,0,NaN,0,270
33,sub-013,1,aph40Hz,LE_highF3_RE_da,190821,192585,2,da,755,150
34,sub-013,1,aph40Hz,LE_highF3_RE_amb,193821,195589,2,da,834,210
35,sub-013,1,aph40Hz,no_stimulus,196821,0,0,NaN,0,210
36,sub-013,1,aph40Hz,LE_highF3_RE_amb,199821,201577,2,da,663,30
37,sub-013,1,aph40Hz,LE_lowF3_RE_ga,202821,204585,3,ga,714,150
38,sub-013,1,aph40Hz,LE_lowF3_RE_amb,205821,207589,2,da,968,210
39,sub-013,1,aph40Hz,LE_highF3_RE_amb,208821,210585,2,da,675,150
40,sub-013,1,aph40Hz,LE_highF3_RE_da,211821,213577,2,da,686,30
41,sub-013,1,aph40Hz,no_stimulus,214821,0,0,NaN,0,30
42,sub-013,1,aph40Hz,LE_highF3_RE_amb,217821,219589,2,da,1099,210
43,sub-013,1,aph40Hz,no_stimulus,220821,0,0,NaN,0,210
44,sub-013,1,aph40Hz,LE_highF3_RE_amb,223821,225585,0,NaN,0,150
45,sub-013,1,aph40Hz,LE_highF3_RE_amb,226821,228581,2,da,542,90
46,sub-013,1,aph40Hz,no_stimulus,229821,0,0,NaN,0,90
47,sub-013,1,aph40Hz,LE_lowF3_RE_amb,232821,234585,3,ga,944,150
48,sub-013,1,aph40Hz,LE_highF3_RE_da,235820,237593,2,da,535,270
49,sub-013,1,aph40Hz,no_stimulus,238820,0,0,NaN,0,270
50,sub-013,1,aph40Hz,LE_lowF3_RE_amb,241820,243581,3,ga,971,90
51,sub-013,1,aph40Hz,no_stimulus,244820,0,0,NaN,0,90
52,sub-013,1,aph40Hz,LE_lowF3_RE_amb,247820,249585,2,da,522,150
53,sub-013,1,aph40Hz,LE_highF3_RE_amb,250820,252589,2,da,607,210
54,sub-013,1,aph40Hz,LE_lowF3_RE_ga,253820,255576,3,ga,500,30
55,sub-013,1,aph40Hz,no_stimulus,256820,0,0,NaN,0,30
56,sub-013,1,aph40Hz,LE_highF3_RE_amb,259820,261597,2,da,889,330
57,sub-013,1,aph40Hz,LE_lowF3_RE_ga,262820,264597,3,ga,663,330
58,sub-013,1,aph40Hz,no_stimulus,265820,0,0,NaN,0,330
59,sub-013,1,aph40Hz,LE_highF3_RE_amb,268820,270580,2,da,622,90
60,sub-013,1,aph40Hz,no_stimulus,271820,0,0,NaN,0,90
61,sub-013,1,aph40Hz,LE_lowF3_RE_amb,274820,276597,3,ga,976,330
62,sub-013,1,aph40Hz,LE_lowF3_RE_amb,277820,279576,3,ga,712,30
63,sub-013,1,aph40Hz,no_stimulus,280820,0,0,NaN,0,30
64,sub-013,1,aph40Hz,LE_highF3_RE_amb,283820,285576,2,da,806,30
65,sub-013,1,aph40Hz,no_stimulus,286819,0,0,NaN,0,30
66,sub-013,1,aph40Hz,LE_highF3_RE_amb,289819,291597,2,da,77,330
67,sub-013,1,aph40Hz,LE_lowF3_RE_amb,292819,294576,2,da,530,30
68,sub-013,1,aph40Hz,no_stimulus,295819,0,0,NaN,0,30
69,sub-013,1,aph40Hz,LE_highF3_RE_amb,298819,300592,2,da,634,270
70,sub-013,1,aph40Hz,LE_lowF3_RE_ga,301819,303588,3,ga,682,210
71,sub-013,1,aph40Hz,LE_highF3_RE_amb,304819,306584,2,da,399,150
72,sub-013,1,aph40Hz,LE_highF3_RE_amb,307819,309576,2,da,600,30
73,sub-013,1,aph40Hz,no_stimulus,310819,0,0,NaN,0,30
74,sub-013,1,aph40Hz,LE_lowF3_RE_amb,313819,315576,3,ga,896,30
75,sub-013,1,aph40Hz,LE_highF3_RE_amb,316819,318596,2,da,579,330
76,sub-013,1,aph40Hz,LE_lowF3_RE_amb,319819,321580,3,ga,911,90
77,sub-013,1,aph40Hz,LE_highF3_RE_da,322819,324596,2,da,457,330
78,sub-013,1,aph40Hz,no_stimulus,325819,0,0,NaN,0,330
79,sub-013,1,aph40Hz,LE_highF3_RE_amb,328819,330588,2,da,910,210
80,sub-013,1,aph40Hz,no_stimulus,331819,0,0,NaN,0,210
81,sub-013,1,aph40Hz,LE_lowF3_RE_amb,334819,336588,3,ga,725,210
82,sub-013,1,aph40Hz,no_stimulus,337818,0,0,NaN,0,210
83,sub-013,1,aph40Hz,LE_lowF3_RE_amb,340818,342579,3,ga,973,90
84,sub-013,1,aph40Hz,LE_lowF3_RE_amb,343818,345584,2,da,720,150
85,sub-013,1,aph40Hz,LE_lowF3_RE_ga,346818,348588,3,ga,820,210
86,sub-013,1,aph40Hz,no_stimulus,349818,0,0,NaN,0,210
87,sub-013,1,aph40Hz,LE_lowF3_RE_amb,352818,354592,3,ga,798,270
88,sub-013,1,aph40Hz,LE_highF3_RE_amb,355818,357579,2,da,456,90
89,sub-013,1,aph40Hz,LE_lowF3_RE_ga,358818,360579,3,ga,622,90
90,sub-013,1,aph40Hz,no_stimulus,361818,0,0,NaN,0,90
91,sub-013,1,aph40Hz,LE_lowF3_RE_amb,364818,366583,3,ga,702,150
92,sub-013,1,aph40Hz,no_stimulus,367818,0,0,NaN,0,150
93,sub-013,1,aph40Hz,LE_highF3_RE_amb,370818,372575,3,ga,793,30
94,sub-013,1,aph40Hz,LE_highF3_RE_da,373818,375596,2,da,577,330
95,sub-013,1,aph40Hz,LE_lowF3_RE_amb,376818,378583,3,ga,681,150
96,sub-013,1,aph40Hz,no_stimulus,379818,0,0,NaN,0,150
97,sub-013,1,aph40Hz,LE_highF3_RE_amb,382818,384596,2,da,686,330
98,sub-013,1,aph40Hz,LE_lowF3_RE_ga,385818,387591,3,ga,583,270
99,sub-013,1,aph40Hz,LE_highF3_RE_amb,388818,390591,2,da,613,270
100,sub-013,1,aph40Hz,LE_lowF3_RE_amb,391817,393591,0,NaN,0,270
101,sub-013,1,aph40Hz,no_stimulus,394817,0,0,NaN,0,270
102,sub-013,1,aph40Hz,LE_highF3_RE_amb,397817,399583,3,ga,568,150
103,sub-013,1,aph40Hz,LE_highF3_RE_da,400817,402579,2,da,577,90
104,sub-013,1,aph40Hz,LE_highF3_RE_da,403817,405591,3,ga,741,270
105,sub-013,1,aph40Hz,no_stimulus,406817,0,0,NaN,0,270
106,sub-013,1,aph40Hz,LE_lowF3_RE_amb,409817,411595,3,ga,968,330
107,sub-013,1,aph40Hz,LE_highF3_RE_da,412817,414587,0,NaN,0,210
108,sub-013,1,aph40Hz,LE_highF3_RE_amb,415817,417595,2,da,740,330
109,sub-013,1,aph40Hz,LE_lowF3_RE_amb,418817,420595,2,da,478,330
110,sub-013,1,aph40Hz,no_stimulus,421817,0,0,NaN,0,330
111,sub-013,1,aph40Hz,LE_highF3_RE_amb,424817,426587,2,da,542,210
112,sub-013,1,aph40Hz,LE_lowF3_RE_ga,427817,429595,2,da,1049,330
113,sub-013,1,aph40Hz,no_stimulus,430817,0,0,NaN,0,330
114,sub-013,1,aph40Hz,LE_highF3_RE_amb,433817,435578,2,da,737,90
115,sub-013,1,aph40Hz,no_stimulus,436817,0,0,NaN,0,90
116,sub-013,1,aph40Hz,LE_lowF3_RE_amb,439817,441587,3,ga,696,210
117,sub-013,1,aph40Hz,LE_highF3_RE_amb,442816,444591,2,da,670,270
118,sub-013,1,aph40Hz,LE_lowF3_RE_ga,445816,447582,3,ga,781,150
119,sub-013,1,aph40Hz,LE_lowF3_RE_amb,448816,450591,2,da,937,270
